property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,bptp visionnaire,sector 70,5.25,20115.0,2.0,4,4,3.0,North-East,New Property,2609.0,0,1,0,0,0,unfurnished,53
house,independent,sector 43,2.1,38251.0,2.0,10,4,5.0,West,New Property,549.0,0,1,0,0,0,unfurnished,26
house,independent,sector 54,5.0,43066.0,4.0,21,4,5.0,North,Relatively New,1161.0,0,1,0,0,0,semifurnished,53
house,independent,sector 43,3.0,53763.0,2.0,12,4,5.0,West,New Property,558.0,0,0,0,0,1,semifurnished,26
house,independent,sector 43,4.5,39062.0,5.0,20,4,4.0,East,Relatively New,1152.0,0,1,0,0,0,semifurnished,26
house,emaar mgf marbella,sector 66,12.0,37037.0,2.0,5,4,3.0,East,New Property,3239.0,0,1,1,1,0,semifurnished,124
house,luxury dlf city floors,sector 26,20.0,48888.0,4.0,16,4,4.0,North-East,New Property,4498.0,0,1,0,0,0,furnished,30
house,independent,sector 25,10.85,38150.0,2.0,6,1,3.0,North-East,Relatively New,2843.0,0,0,1,0,0,unfurnished,157
house,sushant lok 1 builder floors,sector 43,1.95,10078.0,1.0,4,4,4.0,West,New Property,1934.0,0,1,0,0,0,furnished,81
house,independent,sector 25,4.45,32963.0,2.0,3,4,2.0,West,Moderately Old,1350.0,0,0,1,0,0,unfurnished,104
house,independent,sector 28,9.0,27778.0,2.0,7,4,3.0,North,Moderately Old,3239.0,1,1,1,1,0,unfurnished,79
house,dlf city plots phase 3,sector 24,5.0,34083.0,3.0,13,4,4.0,North,New Property,1467.0,0,0,0,1,0,semifurnished,104
house,independent,sector 26,15.0,33201.0,2.0,6,4,3.0,North,Moderately Old,4516.0,1,1,1,1,0,furnished,89
house,independent,sector 43,8.25,30556.0,2.0,6,4,3.0,West,Moderately Old,2699.0,1,1,1,1,0,furnished,77
house,dlf city plots phase 2,sector 25,10.75,29861.0,3.0,9,4,3.0,South-West,Old Property,3599.0,0,1,1,1,0,unfurnished,72
house,independent,sector 38,2.1,23333.0,2.0,7,4,3.0,North-East,Relatively New,900.0,1,0,1,1,0,unfurnished,27
house,unitech espace,sector 50,7.35,41761.0,1.0,4,4,3.0,South,Moderately Old,2159.0,0,1,0,1,0,semifurnished,52
house,independent,sector 49,4.45,15451.0,2.0,6,3,3.0,North,Moderately Old,2879.0,1,1,1,1,0,semifurnished,181
house,independent,sector 9,3.4,12938.0,3.0,9,3,3.0,West,Moderately Old,2627.0,0,0,0,0,0,furnished,66
house,emaar mgf marbella,sector 66,12.0,38095.0,2.0,6,4,3.0,North-East,Relatively New,3149.0,0,1,1,0,0,unfurnished,174
house,independent,sector 48,8.4,25926.0,2.0,4,3,2.0,North,Old Property,3239.0,0,1,0,1,0,semifurnished,18
house,independent,sector 25,7.6,38756.0,2.0,9,3,4.0,East,Relatively New,1961.0,1,0,1,1,0,semifurnished,89
house,ansal sushant lok plots,sector 43,7.0,25926.0,2.0,5,4,3.0,North-East,Relatively New,2699.0,1,1,0,1,0,semifurnished,47
house,grover homes sec 4,sector 4,4.75,9374.0,5.0,5,1,1.0,South-East,Old Property,5065.0,1,1,0,1,0,semifurnished,41
house,independent,sector 9,3.5,13410.0,3.0,9,4,3.0,North-East,Relatively New,2609.0,1,0,0,0,0,unfurnished,29
house,independent,sector 40,5.0,21124.0,3.0,9,4,3.0,North-West,Moderately Old,2366.0,0,1,1,0,0,furnished,83
house,independent,sector 50,10.56,32593.0,2.0,5,3,3.0,East,Moderately Old,3239.0,0,1,0,0,0,unfurnished,19
house,ansal api esencia,sector 67,5.46,24170.0,2.0,5,4,2.0,East,Relatively New,2258.0,1,0,1,1,0,semifurnished,114
house,independent,sector 25,10.0,37037.0,2.0,6,3,3.0,North,Old Property,2699.0,0,1,1,0,0,semifurnished,74
