property_type,sector,price,bedRoom,bathroom,balcony,facing,agePossession,Built_up_area,servant room,store room,furnishing_type,facilities,floor_category
house,sector 70,5.25,2.0,4,4,North-East,New Property,2609.0,Yes,No,unfurnished,standard,Mid Floor
house,sector 43,2.1,2.0,10,4,West,New Property,549.0,Yes,No,unfurnished,basic,Mid Floor
house,sector 54,5.0,4.0,21,4,North,Relatively New,1161.0,Yes,No,semifurnished,standard,Mid Floor
house,sector 43,3.0,2.0,12,4,West,New Property,558.0,No,No,semifurnished,basic,Mid Floor
house,sector 43,4.5,5.0,20,4,East,Relatively New,1152.0,Yes,No,semifurnished,basic,Mid Floor
house,sector 66,12.0,2.0,5,4,East,New Property,3239.0,Yes,Yes,semifurnished,premium,Mid Floor
house,sector 26,20.0,4.0,16,4,North-East,New Property,4498.0,Yes,No,furnished,basic,Mid Floor
house,sector 25,10.85,2.0,6,1,North-East,Relatively New,2843.0,No,Yes,unfurnished,premium,Mid Floor
house,sector 43,1.95,1.0,4,4,West,New Property,1934.0,Yes,No,furnished,standard,Mid Floor
house,sector 25,4.45,2.0,3,4,West,Moderately Old,1350.0,No,Yes,unfurnished,premium,Low Floor
house,sector 28,9.0,2.0,7,4,North,Moderately Old,3239.0,Yes,Yes,unfurnished,standard,Mid Floor
house,sector 24,5.0,3.0,13,4,North,New Property,1467.0,No,No,semifurnished,premium,Mid Floor
house,sector 26,15.0,2.0,6,4,North,Moderately Old,4516.0,Yes,Yes,furnished,standard,Mid Floor
house,sector 43,8.25,2.0,6,4,West,Moderately Old,2699.0,Yes,Yes,furnished,standard,Mid Floor
house,sector 25,10.75,3.0,9,4,South-West,Old Property,3599.0,Yes,Yes,unfurnished,standard,Mid Floor
house,sector 38,2.1,2.0,7,4,North-East,Relatively New,900.0,No,Yes,unfurnished,basic,Mid Floor
house,sector 50,7.35,1.0,4,4,South,Moderately Old,2159.0,Yes,No,semifurnished,standard,Mid Floor
house,sector 49,4.45,2.0,6,3,North,Moderately Old,2879.0,Yes,Yes,semifurnished,luxury,Mid Floor
house,sector 9,3.4,3.0,9,3,West,Moderately Old,2627.0,No,No,furnished,standard,Mid Floor
house,sector 66,12.0,2.0,6,4,North-East,Relatively New,3149.0,Yes,Yes,unfurnished,luxury,Mid Floor
house,sector 48,8.4,2.0,4,3,North,Old Property,3239.0,Yes,No,semifurnished,basic,Low Floor
house,sector 25,7.6,2.0,9,3,East,Relatively New,1961.0,No,Yes,semifurnished,standard,Mid Floor
house,sector 43,7.0,2.0,5,4,North-East,Relatively New,2699.0,Yes,No,semifurnished,standard,Mid Floor
house,sector 4,4.75,5.0,5,1,South-East,Old Property,5065.0,Yes,No,semifurnished,standard,Low Floor
house,sector 9,3.5,3.0,9,4,North-East,Relatively New,2609.0,No,No,unfurnished,basic,Mid Floor
house,sector 40,5.0,3.0,9,4,North-West,Moderately Old,2366.0,Yes,Yes,furnished,standard,Mid Floor
house,sector 50,10.56,2.0,5,3,East,Moderately Old,3239.0,Yes,No,unfurnished,basic,Mid Floor
house,sector 67,5.46,2.0,5,4,East,Relatively New,2258.0,No,Yes,semifurnished,premium,Low Floor
house,sector 25,10.0,2.0,6,3,North,Old Property,2699.0,Yes,Yes,semifurnished,standard,Mid Floor
house,sector 25,9.0,3.0,10,3,East,Old Property,3158.0,No,No,semifurnished,standard,Mid Floor
house,sector 7,1.95,1.0,2,2,North-East,Old Property,1439.0,No,No,unfurnished,basic,Low Floor
house,sector 57,3.3,1.0,4,2,South-East,Moderately Old,1728.0,No,Yes,semifurnished,standard,Mid Floor
house,sector 25,13.0,3.0,16,4,North-East,New Property,2699.0,Yes,Yes,furnished,premium,Mid Floor
house,sector 28,6.0,1.0,4,4,East,Old Property,2699.0,No,No,semifurnished,premium,Mid Floor
house,sector 25,9.0,2.0,5,3,North,Old Property,2699.0,Yes,Yes,unfurnished,standard,Mid Floor
house,sector 26,5.8,2.0,5,4,North,Old Property,1800.0,Yes,Yes,unfurnished,standard,Low Floor
house,sector 55,7.49,3.0,12,4,South-East,Relatively New,2699.0,Yes,No,semifurnished,standard,Mid Floor
house,sector 43,13.5,4.0,16,4,North-West,Relatively New,2699.0,Yes,No,unfurnished,standard,Mid Floor
house,sector 56,11.95,3.0,12,4,West,Relatively New,2744.0,Yes,No,semifurnished,basic,Mid Floor
house,sector 56,12.39,4.0,18,4,North-East,New Property,2699.0,Yes,No,semifurnished,standard,Mid Floor
house,sector 25,6.25,2.0,5,3,East,Moderately Old,1800.0,Yes,No,semifurnished,premium,Low Floor
house,sector 70,5.4,1.0,5,4,North,Relatively New,2609.0,Yes,Yes,unfurnished,premium,Mid Floor
house,sector 43,5.75,2.0,4,2,North,Old Property,1935.0,Yes,Yes,unfurnished,standard,Low Floor
house,sector 2,2.55,2.0,3,2,South,Old Property,1557.0,No,No,unfurnished,basic,Low Floor
house,sector 45,17.0,2.0,8,4,North-East,Relatively New,4498.0,Yes,Yes,semifurnished,luxury,Mid Floor
house,sector 112,7.99,2.0,6,3,South-East,New Property,6382.0,Yes,Yes,unfurnished,premium,Low Floor
house,sector 49,3.75,2.0,6,3,East,Moderately Old,1467.0,No,No,unfurnished,standard,Mid Floor
house,sector 48,7.25,2.0,4,2,South,Moderately Old,2591.0,Yes,Yes,furnished,premium,Low Floor
house,sector 48,8.4,2.0,5,4,North,Moderately Old,3999.0,Yes,No,semifurnished,standard,Low Floor
house,sector 55,3.55,2.0,4,4,East,Old Property,1449.0,No,No,semifurnished,basic,Low Floor
house,sector 86,2.5,1.0,4,4,East,Moderately Old,3399.0,Yes,Yes,semifurnished,luxury,Mid Floor
house,sector 40,2.1,1.0,3,2,North,Moderately Old,900.0,No,No,semifurnished,standard,Mid Floor
house,sector 14,4.5,5.0,5,1,East,Relatively New,2778.0,No,No,unfurnished,basic,Low Floor
house,sector 43,6.5,2.0,4,4,South-East,Moderately Old,1836.0,Yes,No,semifurnished,standard,Mid Floor
house,sector 40,9.5,3.0,12,4,North-West,New Property,2366.0,No,Yes,unfurnished,standard,Mid Floor
house,sector 23,5.0,2.0,4,2,East,Old Property,3077.0,No,No,semifurnished,basic,Low Floor
house,sector 109,5.5,2.0,4,4,North-East,New Property,2429.0,Yes,No,unfurnished,standard,Low Floor
house,sector 109,5.65,2.0,4,4,North-East,New Property,5398.0,Yes,No,unfurnished,standard,Low Floor
house,sector 66,8.8,1.0,4,4,South-East,Relatively New,2115.0,Yes,Yes,unfurnished,premium,Mid Floor
house,sector 4,3.25,2.0,3,2,South-East,Old Property,2249.0,No,No,semifurnished,basic,Low Floor
house,sector 4,5.0,3.0,3,2,North-East,Old Property,4948.0,No,No,semifurnished,basic,Low Floor
house,sector 50,10.45,1.0,5,2,North,Moderately Old,4000.0,Yes,No,semifurnished,luxury,Mid Floor
house,sector 48,19.5,2.0,6,3,North,Moderately Old,8772.0,Yes,Yes,unfurnished,premium,Low Floor
house,sector 82,7.5,2.0,5,4,East,Relatively New,3239.0,Yes,No,semifurnished,premium,Low Floor
house,laxma,0.67,3.0,2,1,South,Moderately Old,783.0,No,No,unfurnished,basic,Low Floor
house,sector 109,5.75,1.0,4,2,South-East,Relatively New,4800.0,Yes,No,unfurnished,premium,Mid Floor
house,sector 109,5.7,1.0,5,4,East,Relatively New,5398.0,Yes,Yes,semifurnished,luxury,Mid Floor
house,sector 9,3.2,3.0,3,2,East,Old Property,2366.0,No,No,semifurnished,standard,Low Floor
house,sector 56,11.5,3.0,13,4,West,Relatively New,2735.0,Yes,No,semifurnished,standard,Mid Floor
house,sector 48,7.69,2.0,5,3,North-West,Moderately Old,3194.0,Yes,Yes,semifurnished,premium,Low Floor
house,sector 82,7.0,4.0,4,4,North-East,Relatively New,3239.0,Yes,No,furnished,standard,Low Floor
house,sector 7,1.55,2.0,2,2,East,Moderately Old,1080.0,No,No,furnished,standard,Low Floor
house,sector 7,3.85,1.0,4,3,North-West,Old Property,2627.0,No,No,semifurnished,basic,Mid Floor
house,sector 7,2.0,1.0,2,2,North-West,Old Property,1439.0,No,No,furnished,basic,Low Floor
house,sector 7,3.1,2.0,3,2,North-West,Old Property,2249.0,No,No,semifurnished,basic,Low Floor
house,sector 7,2.25,2.0,3,2,North-West,Old Property,1439.0,No,No,furnished,basic,Low Floor
house,sector 50,7.0,1.0,4,2,North-East,Old Property,3400.0,Yes,No,unfurnished,premium,Mid Floor
house,sector 48,8.5,2.0,5,4,North,Moderately Old,3999.0,Yes,No,semifurnished,standard,Low Floor
house,sector 66,8.7,1.0,5,2,East,New Property,2250.0,Yes,No,unfurnished,luxury,Mid Floor
house,sector 109,12.5,2.0,6,3,East,Relatively New,4498.0,Yes,Yes,unfurnished,standard,Mid Floor
house,sector 109,6.8,2.0,5,3,North-West,Relatively New,5398.0,Yes,No,unfurnished,standard,Low Floor
house,sector 109,9.5,2.0,6,3,West,Relatively New,3599.0,Yes,No,unfurnished,premium,Mid Floor
house,sector 109,7.0,2.0,6,2,West,Relatively New,5398.0,Yes,No,unfurnished,luxury,Low Floor
house,sector 109,6.2,2.0,5,2,South-West,Relatively New,2429.0,Yes,No,unfurnished,premium,Low Floor
house,sector 56,3.6,2.0,5,4,North-East,Moderately Old,1449.0,No,No,unfurnished,standard,Mid Floor
house,sector 109,5.9,2.0,5,2,East,Relatively New,2429.0,Yes,No,semifurnished,premium,Low Floor
house,sector 109,5.85,2.0,5,4,East,Relatively New,2213.0,Yes,No,semifurnished,premium,Low Floor
house,sector 70,4.0,2.0,4,4,North-East,Relatively New,5998.0,Yes,No,unfurnished,luxury,Low Floor
house,sector 70,5.35,1.0,4,4,North,Relatively New,6000.0,Yes,Yes,furnished,luxury,Mid Floor
house,sector 25,6.6,3.0,7,4,East,Moderately Old,1800.0,Yes,No,furnished,premium,Low Floor
house,sector 109,6.3,2.0,5,4,West,Relatively New,7000.0,No,No,semifurnished,premium,Low Floor
house,sector 109,12.0,2.0,6,3,North-East,Relatively New,7000.0,Yes,No,unfurnished,luxury,Low Floor
house,sector 105,0.65,3.0,2,1,East,Relatively New,720.0,No,No,unfurnished,basic,Low Floor
house,laxma,0.55,2.0,3,2,South,Relatively New,1350.0,No,No,semifurnished,basic,Low Floor
house,laxma,0.85,3.0,3,1,North,Relatively New,13495.0,No,No,unfurnished,basic,Low Floor
house,sector 43,5.8,3.0,6,3,South-West,Relatively New,1935.0,Yes,No,semifurnished,standard,Low Floor
house,sector 109,6.0,2.0,5,4,North,Relatively New,2429.0,Yes,No,semifurnished,premium,Low Floor
house,sector 57,6.25,3.0,9,4,North-East,New Property,2660.0,Yes,No,semifurnished,standard,Mid Floor
house,sector 55,7.05,4.0,18,4,North-East,Relatively New,1503.0,No,No,semifurnished,standard,Mid Floor
house,sector 11,4.5,4.0,16,4,South,Relatively New,1800.0,No,No,semifurnished,basic,Mid Floor
house,sector 31,3.69,2.0,4,2,East,Moderately Old,1557.0,Yes,No,semifurnished,standard,Low Floor
house,sector 43,2.5,2.0,7,3,West,Relatively New,963.0,No,No,semifurnished,basic,Mid Floor
house,sector 43,5.5,1.0,1,0,South-West,Old Property,1935.0,No,No,unfurnished,basic,Low Floor
house,sector 50,15.0,2.0,4,2,West,Moderately Old,4498.0,Yes,No,unfurnished,luxury,Low Floor
house,sector 50,6.95,2.0,3,1,North-East,Moderately Old,2160.0,Yes,No,unfurnished,luxury,Low Floor
house,sector 2,5.7,2.0,5,2,North-East,Old Property,4550.0,No,No,furnished,premium,Low Floor
house,sector 109,11.3,2.0,5,4,East,Relatively New,4500.0,Yes,No,unfurnished,standard,Mid Floor
house,sector 109,11.25,2.0,5,4,North-East,Relatively New,4498.0,Yes,No,unfurnished,standard,Mid Floor
house,sector 70,4.02,1.0,4,4,North-East,Relatively New,5500.0,Yes,Yes,unfurnished,premium,Mid Floor
house,sector 109,5.7,1.0,4,4,East,Relatively New,5398.0,Yes,No,unfurnished,premium,Mid Floor
house,sector 7,0.66,1.0,1,1,East,Relatively New,550.0,No,No,unfurnished,basic,Mid Floor
house,laxma,0.7,2.0,2,1,North-East,New Property,684.0,No,No,unfurnished,basic,Low Floor
house,sector 3,0.95,4.0,3,2,East,Old Property,1070.0,No,No,unfurnished,basic,Low Floor
house,sector 3,0.9,3.0,1,0,East,Moderately Old,1008.0,No,No,unfurnished,basic,Low Floor
house,sector 41,7.0,2.0,7,4,South-West,Moderately Old,2474.0,Yes,Yes,semifurnished,luxury,Mid Floor
house,sector 17,3.93,5.0,17,3,North-West,Relatively New,1623.0,Yes,Yes,unfurnished,standard,Mid Floor
house,sector 56,4.0,2.0,4,4,North-East,Relatively New,1503.0,No,No,semifurnished,basic,Low Floor
house,sector 7,0.9,2.0,4,3,North-East,Old Property,900.0,Yes,No,unfurnished,standard,Mid Floor
house,sector 24,2.75,2.0,7,4,North-East,Moderately Old,3000.0,No,No,semifurnished,basic,Mid Floor
house,sohna road,0.5,2.0,4,3,South-West,Relatively New,725.0,No,No,unfurnished,basic,Mid Floor
house,sector 6,0.5,2.0,3,2,East,Moderately Old,600.0,No,No,unfurnished,basic,Low Floor
house,sector 105,0.6,1.0,3,0,East,Moderately Old,450.0,No,No,unfurnished,basic,Mid Floor
house,sector 3,0.5,2.0,3,3,East,Moderately Old,450.0,No,No,unfurnished,basic,Mid Floor
house,sector 105,0.35,1.0,2,1,East,Moderately Old,556.0,No,No,unfurnished,basic,Low Floor
house,sector 26,4.0,2.0,3,2,North-East,Relatively New,981.0,No,No,semifurnished,basic,Low Floor
house,sector 11,2.2,4.0,3,2,South,Old Property,1799.0,No,No,unfurnished,basic,Low Floor
house,manesar,1.1,8.0,8,0,North,New Property,1781.0,No,No,unfurnished,basic,Low Floor
house,sector 7,8.0,4.0,5,4,North-East,Old Property,3599.0,Yes,No,semifurnished,basic,Low Floor
house,sector 8,0.82,2.0,3,3,North,Moderately Old,900.0,No,No,unfurnished,basic,Low Floor
house,maruti kunj,0.7,2.0,4,1,East,Moderately Old,1699.0,No,No,unfurnished,basic,Low Floor
house,sector 11,0.95,5.0,3,0,South,Relatively New,1300.0,No,No,unfurnished,basic,Low Floor
house,sector 28,3.5,2.0,6,3,North,Relatively New,1350.0,No,No,unfurnished,basic,Mid Floor
house,sector 26,6.0,3.0,5,4,North-East,Old Property,1800.0,No,No,unfurnished,basic,Mid Floor
house,sector 7,2.8,10.0,7,3,North-East,Old Property,2249.0,Yes,No,semifurnished,basic,Low Floor
house,sector 92,2.75,1.0,4,4,East,Relatively New,5000.0,No,No,unfurnished,basic,Mid Floor
house,sector 72,3.1,0.0,5,4,East,Relatively New,3652.0,No,No,unfurnished,basic,High Floor
house,sohna road,0.85,3.0,2,2,North,Under Construction,1120.0,No,No,unfurnished,basic,Low Floor
house,sector 12,0.9,2.0,4,0,East,Old Property,675.0,No,No,unfurnished,basic,Low Floor
house,sector 2,5.0,6.0,6,2,South,Moderately Old,3611.0,No,No,unfurnished,basic,Low Floor
house,sector 14,5.0,3.0,3,3,South,Moderately Old,2249.0,No,No,unfurnished,basic,Low Floor
house,sector 33,9.5,2.0,7,4,East,Under Construction,4498.0,Yes,Yes,unfurnished,standard,Low Floor
house,sector 5,3.75,2.0,5,4,North,Old Property,3400.0,No,No,unfurnished,basic,Mid Floor
house,sector 105,0.37,1.0,3,2,East,Relatively New,360.0,No,No,unfurnished,basic,Mid Floor
house,sector 13,2.25,10.0,10,2,East,Old Property,400.0,No,No,unfurnished,basic,Low Floor
house,sector 7,1.15,2.0,3,2,North-East,Old Property,1350.0,No,No,unfurnished,basic,Low Floor
house,arju,0.49,2.0,3,2,East,Moderately Old,360.0,No,No,unfurnished,basic,Mid Floor
house,sector 5,0.8,2.0,2,1,North,Old Property,900.0,No,No,unfurnished,basic,Low Floor
house,sector 21,1.6,2.0,5,2,East,Relatively New,120.0,No,No,unfurnished,basic,Mid Floor
house,sector 26,7.0,2.0,5,2,North-East,Relatively New,1783.0,Yes,No,unfurnished,basic,Mid Floor
house,sector 9,0.5,3.0,2,1,North-East,Old Property,822.0,No,No,unfurnished,basic,Low Floor
house,sector 21,0.45,3.0,2,1,East,Old Property,594.0,No,No,unfurnished,basic,Low Floor
house,sector 109,1.87,0.0,4,0,North-East,Relatively New,2150.0,No,No,unfurnished,basic,High Floor
house,sector 3,0.85,1.0,1,0,East,Moderately Old,1000.0,No,No,unfurnished,basic,Low Floor
house,maruti kunj,0.42,2.0,3,0,East,New Property,567.0,No,No,unfurnished,basic,Low Floor
house,sector 105,1.2,4.0,4,1,South-West,Moderately Old,900.0,No,No,semifurnished,basic,Low Floor
house,sector 50,6.5,5.0,6,0,East,Moderately Old,3000.0,No,No,unfurnished,basic,Low Floor
house,sector 105,1.35,2.0,3,3,East,Moderately Old,3500.0,No,No,unfurnished,basic,Mid Floor
house,sector 57,4.7,2.0,3,2,North,Old Property,2159.0,Yes,No,unfurnished,standard,Low Floor
house,sector 9,0.22,2.0,2,2,North-East,Old Property,37.0,No,No,unfurnished,basic,Low Floor
house,sector 9,1.25,3.0,6,4,North-East,Old Property,1430.0,No,No,unfurnished,basic,Mid Floor
house,sector 12,1.7,1.0,1,2,East,Old Property,2000.0,No,No,unfurnished,basic,Low Floor
house,sector 2,6.0,2.0,4,1,North,Relatively New,3000.0,No,No,unfurnished,basic,Low Floor
house,sector 55,2.8,2.0,4,0,East,New Property,1500.0,No,No,unfurnished,basic,Low Floor
house,sohna road,0.07,1.0,1,0,North,Relatively New,297.0,No,No,unfurnished,basic,Low Floor
house,sector 38,3.5,3.0,3,2,East,Relatively New,1440.0,No,No,unfurnished,basic,Low Floor
house,sector 28,2.58,2.0,2,2,North,Relatively New,1458.0,No,No,unfurnished,basic,Low Floor
house,sector 21,0.6,3.0,3,2,East,Old Property,972.0,No,No,unfurnished,basic,Mid Floor
house,sector 9,1.1,2.0,3,1,North-East,Old Property,200.0,No,No,unfurnished,basic,Low Floor
house,sector 12,2.5,9.0,5,2,South-East,Old Property,1799.0,No,No,unfurnished,basic,Low Floor
house,sector 38,3.5,3.0,2,2,East,Moderately Old,1722.0,No,No,unfurnished,basic,Low Floor
house,sector 56,2.95,2.0,2,2,North,Moderately Old,1449.0,No,No,unfurnished,basic,Low Floor
house,sector 105,0.7,3.0,2,2,East,Moderately Old,1200.0,No,No,unfurnished,basic,Low Floor
house,sector 7,1.16,2.0,4,2,North-East,Moderately Old,1102.0,No,No,unfurnished,standard,Mid Floor
house,sector 25,16.0,2.0,5,2,East,Relatively New,6000.0,No,No,unfurnished,basic,Mid Floor
house,sector 28,8.95,1.0,6,4,North,Moderately Old,4998.0,No,No,unfurnished,basic,Mid Floor
house,sector 43,14.0,2.0,9,4,North,Moderately Old,3509.0,Yes,No,unfurnished,basic,Mid Floor
house,sector 7,1.35,1.0,5,0,North-East,Old Property,330.0,No,No,unfurnished,basic,Mid Floor
house,sector 50,13.2,3.0,6,0,East,Moderately Old,4861.0,No,No,unfurnished,basic,Low Floor
house,sector 12,6.0,3.0,9,4,North-West,Old Property,9000.0,No,No,unfurnished,basic,Mid Floor
house,laxma,0.51,1.0,4,3,East,New Property,360.0,No,No,unfurnished,basic,Mid Floor
house,laxma,1.1,3.0,4,1,North,Moderately Old,990.0,No,No,unfurnished,basic,Low Floor
house,sector 37,2.5,2.0,5,4,East,Relatively New,1899.0,No,No,unfurnished,basic,Low Floor
house,sector 7,0.53,2.0,2,0,North-East,Old Property,900.0,No,No,unfurnished,basic,Low Floor
house,sector 7,2.0,1.0,2,1,North-East,Relatively New,1799.0,No,No,unfurnished,basic,Low Floor
house,sector 56,8.0,2.0,10,4,North-East,Relatively New,8286.0,Yes,No,furnished,premium,Mid Floor
house,sector 13,0.45,1.0,1,0,East,Old Property,936.0,No,No,unfurnished,basic,Low Floor
house,sector 105,0.37,2.0,2,1,East,Moderately Old,450.0,No,No,unfurnished,basic,Low Floor
house,sector 11,1.35,3.0,6,4,South,Old Property,3499.0,No,No,unfurnished,basic,Mid Floor
house,arju,0.62,2.0,1,0,East,Relatively New,550.0,No,No,unfurnished,basic,Low Floor
house,sector 25,8.0,1.0,9,2,East,New Property,11110.0,No,No,unfurnished,basic,Mid Floor
house,sector 92,1.8,0.0,5,0,East,Relatively New,2360.0,No,No,unfurnished,basic,High Floor
house,sector 108,1.7,4.0,4,4,North-East,Relatively New,3000.0,No,No,unfurnished,basic,Low Floor
house,sector 3,0.55,2.0,1,0,East,Moderately Old,1100.0,No,No,unfurnished,basic,Low Floor
house,sector 3,1.5,6.0,1,0,East,New Property,3000.0,No,No,unfurnished,basic,Low Floor
house,sector 109,1.55,3.0,2,0,North-East,Relatively New,2360.0,No,No,unfurnished,basic,Low Floor
house,sector 17,0.32,1.0,2,0,East,Old Property,145.0,No,No,unfurnished,basic,Mid Floor
house,arju,1.6,1.0,6,1,East,Relatively New,558.0,No,No,unfurnished,basic,Mid Floor
house,sector 7,0.95,1.0,1,1,North-East,New Property,450.0,No,No,unfurnished,basic,Mid Floor
house,sector 6,0.66,2.0,2,1,East,Old Property,612.0,No,No,unfurnished,basic,Low Floor
house,sector 104,0.45,1.0,4,2,North,Moderately Old,1666.0,No,No,furnished,basic,Mid Floor
house,sector 13,1.5,1.0,2,2,South-West,Old Property,1425.0,No,No,unfurnished,basic,Mid Floor
house,sector 17,1.52,2.0,2,1,South-East,Old Property,105.0,No,No,unfurnished,basic,Low Floor
house,laxma,0.85,3.0,3,0,East,Moderately Old,1130.0,No,No,unfurnished,basic,Low Floor
house,sector 7,0.45,3.0,2,0,North-East,Old Property,1000.0,No,No,unfurnished,basic,Low Floor
house,sector 39,5.15,5.0,5,0,North-East,Relatively New,3660.0,No,No,unfurnished,basic,Low Floor
house,sector 14,6.5,1.0,5,0,East,Moderately Old,2499.0,No,No,unfurnished,basic,Mid Floor
house,sector 17,3.5,2.0,5,3,East,Old Property,1440.0,No,No,unfurnished,standard,Mid Floor
house,sector 25,13.5,9.0,9,0,East,Relatively New,7000.0,No,No,unfurnished,basic,Low Floor
house,sector 2,5.7,3.0,9,4,North-East,Moderately Old,2429.0,No,No,semifurnished,basic,Mid Floor
house,sector 7,1.75,2.0,2,2,North-East,Old Property,1574.0,No,No,unfurnished,basic,Low Floor
house,sector 3,0.75,2.0,2,2,West,Old Property,1170.0,No,No,unfurnished,basic,Low Floor
house,laxma,1.1,4.0,4,4,West,Old Property,1799.0,No,No,unfurnished,basic,Low Floor
house,sector 10,4.25,4.0,3,2,North-East,Moderately Old,2367.0,No,No,unfurnished,basic,Low Floor
house,sector 3,0.37,1.0,1,1,East,Relatively New,480.0,No,No,unfurnished,basic,Low Floor
house,sector 70,2.1,1.0,2,1,North-East,New Property,667.0,No,No,unfurnished,basic,Mid Floor
house,sector 3,1.1,5.0,4,2,East,Moderately Old,1100.0,No,No,unfurnished,basic,Low Floor
house,sohna road,1.2,1.0,4,4,West,Old Property,450.0,No,No,semifurnished,basic,Mid Floor
house,sector 17,3.0,4.0,4,0,East,Old Property,3000.0,No,No,unfurnished,basic,Low Floor
house,sector 48,8.5,1.0,6,3,North,Old Property,3239.0,Yes,No,unfurnished,standard,Mid Floor
house,sector 28,0.75,2.0,4,4,North,Moderately Old,360.0,No,No,unfurnished,basic,Mid Floor
house,arju,0.82,2.0,4,0,East,Relatively New,891.0,No,No,unfurnished,basic,Low Floor
house,sector 105,1.15,3.0,2,1,East,Moderately Old,3888.0,No,No,unfurnished,basic,Low Floor
house,sector 43,5.75,1.0,4,2,North,Under Construction,2430.0,Yes,Yes,unfurnished,luxury,Mid Floor
house,sector 9,0.6,2.0,3,1,North-East,Relatively New,558.0,No,No,unfurnished,basic,Low Floor
house,sector 13,4.5,2.0,5,2,East,Old Property,4948.0,No,No,unfurnished,basic,Low Floor
house,sector 24,3.2,2.0,14,4,West,Relatively New,540.0,No,No,unfurnished,basic,Mid Floor
house,sector 104,1.95,2.0,5,4,North,Moderately Old,920.0,No,No,unfurnished,standard,Low Floor
house,sector 109,6.1,2.0,6,4,North-East,Moderately Old,2429.0,Yes,No,unfurnished,basic,Low Floor
house,sector 6,0.5,2.0,3,3,East,Old Property,360.0,No,No,unfurnished,basic,Mid Floor
house,manesar,2.0,1.0,1,0,North,Moderately Old,1337.0,No,No,unfurnished,basic,Mid Floor
house,sector 28,2.1,2.0,8,4,South-East,Moderately Old,900.0,No,No,semifurnished,standard,Mid Floor
house,sector 50,11.5,5.0,6,0,North-West,Moderately Old,3240.0,No,No,unfurnished,basic,Low Floor
house,sector 13,0.9,2.0,4,3,North-West,Moderately Old,785.0,Yes,No,unfurnished,basic,Mid Floor
house,laxma,0.75,2.0,4,3,East,Moderately Old,640.0,No,No,unfurnished,basic,Low Floor
house,sector 105,1.3,2.0,3,1,North,Moderately Old,1125.0,No,No,unfurnished,basic,Low Floor
house,sector 3,0.68,5.0,3,0,East,Moderately Old,1755.0,No,No,unfurnished,basic,Low Floor
house,sector 3,1.5,7.0,2,0,East,Moderately Old,1979.0,No,No,unfurnished,basic,Low Floor
house,sector 105,1.3,3.0,3,1,East,Moderately Old,1125.0,No,No,unfurnished,basic,Low Floor
house,sector 9,0.6,2.0,2,1,North-East,Moderately Old,558.0,No,No,unfurnished,basic,Low Floor
house,sector 14,6.5,2.0,4,4,East,Moderately Old,3149.0,No,No,unfurnished,basic,Low Floor
house,sector 11,2.1,2.0,6,4,South,Relatively New,1215.0,No,No,unfurnished,basic,Mid Floor
house,sector 31,4.6,1.0,2,2,East,Moderately Old,1426.0,No,No,unfurnished,basic,Low Floor
